"","year","race","FORCE_USED","HAD_WEAPON"
"166",2014,"W",TRUE,FALSE
"167",2014,"B",FALSE,FALSE
"168",2014,"B",FALSE,FALSE
"169",2014,"B",FALSE,FALSE
"170",2014,"B",FALSE,FALSE
"171",2014,"B",FALSE,FALSE
"172",2014,"B",FALSE,FALSE
"173",2014,"Q",FALSE,FALSE
"174",2014,"B",FALSE,FALSE
"175",2014,"B",FALSE,FALSE
"176",2014,"B",FALSE,FALSE
"177",2014,"B",FALSE,FALSE
"178",2014,"B",TRUE,FALSE
"179",2014,"B",TRUE,FALSE
"180",2014,"W",FALSE,FALSE
"181",2014,"B",FALSE,FALSE
"182",2014,"B",FALSE,FALSE
"183",2014,"Q",FALSE,FALSE
"184",2014,"Q",FALSE,FALSE
"185",2014,"Q",FALSE,FALSE
"186",2014,"Q",TRUE,FALSE
"187",2014,"B",FALSE,FALSE
"188",2014,"B",FALSE,FALSE
"189",2014,"B",FALSE,FALSE
"190",2014,"B",FALSE,FALSE
"191",2014,"B",FALSE,FALSE
"192",2014,"B",FALSE,FALSE
"193",2014,"B",FALSE,FALSE
"194",2014,"B",FALSE,FALSE
"195",2014,"A",FALSE,FALSE
"196",2014,"B",FALSE,FALSE
"197",2014,"B",FALSE,FALSE
"198",2014,"B",FALSE,FALSE
"199",2014,"W",FALSE,FALSE
"200",2014,"B",TRUE,FALSE
"201",2014,"B",FALSE,FALSE
"202",2014,"B",FALSE,FALSE
"203",2014,"Q",FALSE,FALSE
"204",2014,"B",TRUE,FALSE
"205",2014,"B",FALSE,FALSE
"206",2014,"B",FALSE,FALSE
"207",2014,"B",FALSE,FALSE
"208",2014,"B",FALSE,FALSE
"209",2014,"P",TRUE,FALSE
"210",2014,"W",FALSE,FALSE
"211",2014,"B",TRUE,TRUE
"212",2014,"B",FALSE,FALSE
"213",2014,"B",FALSE,FALSE
"214",2014,"B",FALSE,FALSE
"215",2014,"B",FALSE,FALSE
"216",2014,"B",TRUE,FALSE
"217",2014,"Q",FALSE,TRUE
"218",2014,"B",TRUE,FALSE
"219",2014,"B",FALSE,FALSE
"220",2014,"W",FALSE,FALSE
"221",2014,"Q",FALSE,FALSE
"222",2014,"B",TRUE,FALSE
"223",2014,"W",FALSE,FALSE
"224",2014,"W",FALSE,FALSE
"225",2014,"B",FALSE,TRUE
"226",2014,"B",TRUE,FALSE
"227",2014,"Q",FALSE,FALSE
"228",2014,"W",FALSE,FALSE
"229",2014,"B",FALSE,FALSE
"230",2014,"P",FALSE,FALSE
"231",2014,"B",FALSE,FALSE
"232",2014,"B",FALSE,FALSE
"233",2014,"B",FALSE,FALSE
"234",2014,"P",FALSE,FALSE
"235",2014,"B",FALSE,FALSE
"236",2014,"B",FALSE,FALSE
"237",2014,"Q",FALSE,FALSE
"238",2014,"B",TRUE,FALSE
"239",2014,"W",FALSE,FALSE
"240",2014,"P",FALSE,TRUE
"241",2014,"Q",FALSE,FALSE
"242",2014,"Q",TRUE,FALSE
"243",2014,"B",TRUE,FALSE
"244",2014,"B",FALSE,FALSE
"245",2014,"B",FALSE,FALSE
"246",2014,"Q",FALSE,FALSE
"247",2014,"B",FALSE,FALSE
"248",2014,"Z",FALSE,TRUE
"249",2014,"B",FALSE,FALSE
"250",2014,"B",TRUE,FALSE
"251",2014,"Q",TRUE,FALSE
"252",2014,"B",TRUE,FALSE
"253",2014,"B",FALSE,FALSE
"254",2014,"Q",TRUE,FALSE
"255",2014,"B",FALSE,FALSE
"256",2014,"B",TRUE,FALSE
"257",2014,"B",TRUE,FALSE
"258",2014,"W",TRUE,FALSE
"259",2014,"B",FALSE,FALSE
"260",2014,"Q",TRUE,FALSE
"261",2014,"Q",TRUE,FALSE
"262",2014,"Q",TRUE,FALSE
"263",2014,"B",FALSE,FALSE
"264",2014,"B",FALSE,FALSE
"265",2014,"B",TRUE,FALSE
"266",2014,"A",FALSE,FALSE
"267",2014,"B",FALSE,FALSE
"268",2014,"B",FALSE,FALSE
"269",2014,"B",FALSE,FALSE
"270",2014,"B",FALSE,FALSE
"271",2014,"B",FALSE,FALSE
"272",2014,"B",FALSE,FALSE
"273",2014,"P",FALSE,FALSE
"274",2014,"A",FALSE,FALSE
"275",2014,"B",FALSE,FALSE
"276",2014,"B",FALSE,FALSE
"277",2014,"P",FALSE,FALSE
"278",2014,"B",FALSE,FALSE
"279",2014,"Q",FALSE,FALSE
"280",2014,"B",FALSE,FALSE
"281",2014,"B",TRUE,FALSE
"282",2014,"B",FALSE,FALSE
"283",2014,"P",FALSE,FALSE
"284",2014,"B",TRUE,FALSE
"285",2014,"Q",TRUE,FALSE
"286",2014,"B",FALSE,FALSE
"287",2014,"B",FALSE,FALSE
"288",2014,"B",FALSE,FALSE
"289",2014,"B",FALSE,FALSE
"290",2014,"Q",FALSE,FALSE
"291",2014,"B",FALSE,FALSE
"292",2014,"B",TRUE,FALSE
"293",2014,"B",FALSE,FALSE
"294",2014,"Q",TRUE,FALSE
"295",2014,"P",FALSE,FALSE
"296",2014,"B",FALSE,FALSE
"297",2014,"B",TRUE,FALSE
"298",2014,"W",FALSE,FALSE
"299",2014,"B",TRUE,FALSE
"300",2014,"B",FALSE,FALSE
"301",2014,"Q",FALSE,FALSE
"302",2014,"Z",FALSE,FALSE
"303",2014,"B",TRUE,FALSE
"304",2014,"Q",TRUE,FALSE
"305",2014,"B",FALSE,FALSE
"306",2014,"B",FALSE,FALSE
"307",2014,"B",FALSE,FALSE
"308",2014,"B",FALSE,FALSE
"309",2014,"B",FALSE,FALSE
"310",2014,"B",FALSE,FALSE
"311",2014,"Q",TRUE,FALSE
"312",2014,"Q",TRUE,TRUE
"313",2014,"B",TRUE,FALSE
"314",2014,"B",FALSE,FALSE
"315",2014,"B",FALSE,FALSE
"316",2014,"Q",TRUE,TRUE
"317",2014,"W",FALSE,FALSE
"318",2014,"Q",FALSE,FALSE
"319",2014,"B",FALSE,FALSE
"320",2014,"B",FALSE,FALSE
"321",2014,"B",TRUE,FALSE
"322",2014,"B",FALSE,FALSE
"323",2014,"B",FALSE,FALSE
"324",2014,"B",FALSE,FALSE
"325",2014,"B",TRUE,FALSE
"326",2014,"B",FALSE,FALSE
