inout
trhsloc
perobs
crimsusp
perstop

explnstp
othpers
arstmade

offunif

frisked
searched
contrabn

pistol
riflshot
asltweap
knifcuti
machgun
othrweap

rf_vcrim
rf_othsw

rf_attir
cs_objcs
cs_descr
cs_casng
cs_lkout
rf_vcact
cs_cloth
cs_drgtr
ac_evasv
ac_assoc
cs_furtv
rf_rfcmp
ac_cgdir
rf_verbl
cs_vcrim
cs_bulge
cs_other
ac_incid
ac_time
rf_knowl
ac_stsnd
ac_other
sb_hdobj
sb_outln
sb_admis
sb_other

rf_furt
rf_bulg

sex
race
dob
age
ht_feet
ht_inch
weight
haircolr
eyecolor
build
othfeatr
